,service_id,date,exception_type
1079,16,20161220,1
1080,17,20161220,1
1081,19,20161220,1
1082,20,20161220,1
1083,21,20161220,1
1084,23,20161220,1
1085,25,20161220,1
1086,28,20161220,1
1087,34,20161220,1
1088,35,20161220,1
1089,37,20161220,1
1090,40,20161220,1
1091,42,20161220,1
1092,43,20161220,1
1093,45,20161220,1
1094,47,20161220,1
1095,49,20161220,1
1096,51,20161220,1
1097,52,20161220,1
1098,53,20161220,1
1099,56,20161220,1
1100,59,20161220,1
1101,60,20161220,1
1102,68,20161220,1
1103,72,20161220,1
1104,11,20161221,1
1105,15,20161221,1
1106,16,20161221,1
1107,17,20161221,1
1108,19,20161221,1
1109,20,20161221,1
1110,21,20161221,1
1111,23,20161221,1
1112,25,20161221,1
1113,28,20161221,1
1114,32,20161221,1
1115,34,20161221,1
1116,36,20161221,1
1117,37,20161221,1
1118,38,20161221,1
1119,39,20161221,1
1120,40,20161221,1
1121,47,20161221,1
1122,49,20161221,1
1123,51,20161221,1
1124,52,20161221,1
1125,53,20161221,1
1126,55,20161221,1
1127,57,20161221,1
1128,59,20161221,1
1129,66,20161221,1
1130,67,20161221,1
1131,68,20161221,1
1132,71,20161221,1
1133,72,20161221,1
1134,11,20161222,1
1135,14,20161222,1
1136,16,20161222,1
1137,17,20161222,1
1138,19,20161222,1
1139,20,20161222,1
1140,21,20161222,1
1141,23,20161222,1
1142,25,20161222,1
1143,28,20161222,1
1144,34,20161222,1
1145,37,20161222,1
1146,38,20161222,1
1147,40,20161222,1
1148,41,20161222,1
1149,42,20161222,1
1150,43,20161222,1
1151,45,20161222,1
1152,47,20161222,1
1153,48,20161222,1
1154,51,20161222,1
1155,52,20161222,1
1156,53,20161222,1
1157,55,20161222,1
1158,59,20161222,1
1159,60,20161222,1
1160,68,20161222,1
1161,71,20161222,1
1162,72,20161222,1
1163,9,20161223,1
1164,11,20161223,1
1165,14,20161223,1
1166,16,20161223,1
1167,17,20161223,1
1168,19,20161223,1
1169,20,20161223,1
1170,21,20161223,1
1171,23,20161223,1
1172,25,20161223,1
1173,28,20161223,1
1174,31,20161223,1
1175,32,20161223,1
1176,37,20161223,1
1177,40,20161223,1
1178,42,20161223,1
1179,43,20161223,1
1180,44,20161223,1
1181,47,20161223,1
1182,49,20161223,1
1183,50,20161223,1
1184,51,20161223,1
1185,52,20161223,1
1186,53,20161223,1
1187,56,20161223,1
1188,66,20161223,1
1189,71,20161223,1
1190,73,20161223,1
1191,3,20161224,1
1192,9,20161224,1
1193,20,20161224,1
1194,27,20161224,1
1195,28,20161224,1
1196,30,20161224,1
1197,40,20161224,1
1198,47,20161224,1
1199,51,20161224,1
1200,52,20161224,1
1201,62,20161224,1
1202,67,20161224,1
1203,2,20161225,1
1204,29,20161225,1
1205,33,20161225,1
1206,40,20161225,1
1207,2,20161226,1
1208,22,20161226,1
1209,33,20161226,1
1210,40,20161226,1
1211,51,20161226,1
1212,62,20161226,1
1213,5,20161227,1
1214,14,20161227,1
1215,16,20161227,1
1216,17,20161227,1
1217,19,20161227,1
1218,20,20161227,1
1219,24,20161227,1
1220,25,20161227,1
1221,27,20161227,1
1222,28,20161227,1
1223,37,20161227,1
1224,40,20161227,1
1225,47,20161227,1
1226,51,20161227,1
1227,52,20161227,1
1228,68,20161227,1
1229,72,20161227,1
1230,11,20161228,1
1231,15,20161228,1
1232,16,20161228,1
1233,17,20161228,1
1234,19,20161228,1
1235,20,20161228,1
1236,24,20161228,1
1237,25,20161228,1
1238,27,20161228,1
1239,28,20161228,1
1240,37,20161228,1
1241,40,20161228,1
1242,47,20161228,1
1243,51,20161228,1
1244,52,20161228,1
1245,57,20161228,1
1246,67,20161228,1
1247,68,20161228,1
1248,72,20161228,1
1249,11,20161229,1
1250,14,20161229,1
1251,16,20161229,1
1252,17,20161229,1
1253,19,20161229,1
1254,20,20161229,1
1255,24,20161229,1
1256,25,20161229,1
1257,27,20161229,1
1258,28,20161229,1
1259,37,20161229,1
1260,40,20161229,1
1261,47,20161229,1
1262,48,20161229,1
1263,51,20161229,1
1264,52,20161229,1
1265,68,20161229,1
1266,72,20161229,1
1267,9,20161230,1
1268,11,20161230,1
1269,14,20161230,1
1270,16,20161230,1
1271,17,20161230,1
1272,19,20161230,1
1273,20,20161230,1
1274,24,20161230,1
1275,25,20161230,1
1276,27,20161230,1
1277,28,20161230,1
1278,37,20161230,1
1279,40,20161230,1
1280,47,20161230,1
1281,50,20161230,1
1282,51,20161230,1
1283,52,20161230,1
1284,3,20161231,1
1285,9,20161231,1
1286,20,20161231,1
1287,27,20161231,1
1288,28,20161231,1
1289,30,20161231,1
1290,40,20161231,1
1291,47,20161231,1
1292,51,20161231,1
1293,52,20161231,1
1294,62,20161231,1
1295,67,20161231,1
