,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
5362,53255001,10805.0,Fermata 10805 - Castiglione (Rezza),,45.12159,7.81446,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=10805&stoppingPointCtl:action:getTransits,0
5363,53958002,6116.0,Fermata 6116 - COSTAGUTA,,45.00154,7.81537,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=6116&stoppingPointCtl:action:getTransits,0
5364,53995001,25143.0,Fermata 25143 - Lessolo (loc. Rio'-v. Marenda),,45.48123,7.82084,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=25143&stoppingPointCtl:action:getTransits,0
5365,54006001,6090.0,Fermata 6090 - BOGINO N.12,V. BOGINO N.12,45.00852,7.83341,3.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=6090&stoppingPointCtl:action:getTransits,0
5366,54024001,12093.0,Fermata 12093 - Perosa (bv. Pranzalito),,45.40492,7.83004,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=12093&stoppingPointCtl:action:getTransits,0
5367,54038001,25155.0,Fermata 25155 - Fiorano (v. Ivrea 11),,45.46877,7.83313,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=25155&stoppingPointCtl:action:getTransits,0
5368,54046001,23111.0,Fermata 23111 - Villate,,45.35553,7.83849,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=23111&stoppingPointCtl:action:getTransits,0
5369,54085001,11709.0,Fermata 11709 - Pavone (Circonvallazione/v. Marconi),,45.43127,7.85564,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=11709&stoppingPointCtl:action:getTransits,0
5370,54149001,21769.0,Fermata 21769 - Bio' (reg. Truc Cagnin),,45.51961,7.86664,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=21769&stoppingPointCtl:action:getTransits,0
5371,54220002,11580.0,Fermata 11580 - Ivrea (C.so Vercelli 120),,45.46828,7.8889,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=11580&stoppingPointCtl:action:getTransits,0
5372,54231001,27240.0,Fermata 27240 - Ivrea (v. lago S.Michele/Polveriera),,45.47661,7.89215,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=27240&stoppingPointCtl:action:getTransits,0
5373,54238001,21471.0,Fermata 21471 - Ivrea (v. Cascinette/v. Strusiglia),,45.47194,7.89318,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=21471&stoppingPointCtl:action:getTransits,0
5374,54272001,11592.0,Fermata 11592 - Ivrea (v. Casale/ponte Breda),,45.46284,7.9035,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=11592&stoppingPointCtl:action:getTransits,0
5375,54287001,11528.0,Fermata 11528 - Cascinette (rio Gorrere),,45.48442,7.90631,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=11528&stoppingPointCtl:action:getTransits,0
5376,54309001,11601.0,Fermata 11601 - Torre Balfredo,,45.44905,7.91646,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=11601&stoppingPointCtl:action:getTransits,0
5377,54319001,11607.0,Fermata 11607 - Albiano (bv. Tina),,45.44222,7.92514,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=11607&stoppingPointCtl:action:getTransits,0
5378,54332001,21507.0,Fermata 21507 - Burolo (Cimitero),,45.47732,7.93421,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=21507&stoppingPointCtl:action:getTransits,0
